participant, color, response, RT, error
100, blue, none, -1.0000, 0
100, blue, none, -1.0000, 0
100, blue, none, -1.0000, 0
100, green, space, 0.3684, 0
100, green, space, 0.6443, 0
100, green, space, 0.4741, 0
100, green, space, 0.4722, 0
100, green, space, 0.4229, 0
100, green, none, -1.0000, 1
100, green, none, -1.0000, 1
100, green, space, 0.6444, 0
100, blue, none, -1.0000, 0
100, green, space, 0.4485, 0
100, blue, none, -1.0000, 0
100, blue, none, -1.0000, 0
100, blue, none, -1.0000, 0
100, green, space, 0.5775, 0
100, blue, none, -1.0000, 0
100, blue, none, -1.0000, 0
100, blue, none, -1.0000, 0
